id,title,company,location,state,category,contract_type,contract_time,salary_min,salary_max,created,description,redirect_url,salary_available,salary_avg
5783568951,Technical Delivery Lead- Data Engineering,Narwal,India,,IT Jobs,,,,,2026-07-01 17:19:11+00:00,"About Us : Narwal, with its Global Delivery Model, strategically expands its reach across North America, the United Kingdom, and an offshore development centre in India. Delivery cutting edge AI, Data, and Quality Engineering solutions and consistently surpassing expectations. Narwal has achieved remarkable triple-digit growth rates year after year, earning accolades such as Inc. 5000, Best IT Services Company, Best Data Technology Company, and Partner of the Year with Tricentis. Our Vision: To…",https://www.adzuna.in/land/ad/5783568951?se=iHP8o-Z18RGcUYVWWD2zrA&utm_medium=api&utm_source=4a2f7c39&v=273C9D3FAF5235FB673FACFA08C8BC70DAF7D96D,False,
5513049976,Data Engineer-Data engineer-Engineering,EXL,"Noida, Ghaziabad",Uttar Pradesh,IT Jobs,,full_time,,,2025-11-25 23:00:33+00:00,"Description Data Engineers design and build data systems and pipelines. Responsibilities include developing data processing workflows, optimizing data storage, and ensuring data accuracy. You will collaborate with data scientists and analysts to meet data requirements and resolve data issues. Strong experience in data engineering and problem-solving skills are required. Responsibilities Design and implement data pipelines, Optimize data processing and storage, Ensure data solutions meet perform…",https://www.adzuna.in/details/5513049976?utm_medium=api&utm_source=4a2f7c39,False,
5766299979,Data Engineer,Evnek Technologies Pvt Ltd,"Dadar, Mumbai",Maharashtra,IT Jobs,contract,,,,2026-06-17 09:33:34+00:00,"Job Title: Data Engineer Experience: 2–3 Years Location: Mumbai (Worli) Work Mode: Onsite Notice Period: Immediate or max 15days preffered Role Overview We are seeking a talented and motivated Data Engineer with hands-on experience in PySpark , SQL, and Big Data technologies . The ideal candidate will be responsible for designing, developing, and optimizing scalable data pipelines that support large-scale data processing, analytics, and integration initiatives. This role requires strong technic…",https://www.adzuna.in/details/5766299979?utm_medium=api&utm_source=4a2f7c39,False,
5745059283,Data Engineer,Commergence,India,,IT Jobs,permanent,full_time,700000.0,2300000.0,2026-05-30 06:08:58+00:00,"KEY SKILLS REQUIRED Extensive hands-on experience with Azure Data Lake (including Blob Storage and Delta), Azure Synapse Analytics, and Databricks. Proven expertise in SQL/Azure SQL data warehousing and advanced query optimisation. Strong background in data engineering practices, including release management, environment controls, and CI/CD pipeline orchestration. Proficiency in Python and Spark for data processing and automation. Ability to translate business requirements into effective data a…",https://www.adzuna.in/details/5745059283?utm_medium=api&utm_source=4a2f7c39,True,1500000.0
5785057845,Data Engineer,Experian,"Hyderabad, Telangana",Telangana,IT Jobs,,,,,2026-07-02 12:15:11+00:00,"Job Description We are looking for a Data Engineer to enhance Tenderlink, a platform that connects buyers and suppliers by streamlining tendering, procurement, and contract management processes. Reporting to the Manager, Commercial Data Quality & Innovation, this is a hands-on technical role responsible for independently designing, building, optimising, and enhancing data pipelines that power Tenderlink data assets. You will focus on ensuring high-quality, reliable, and scalable data ingestion,…",https://www.adzuna.in/details/5785057845?utm_medium=api&utm_source=4a2f7c39,False,
5576136478,Data Engineer,NPS Prism,"Mini Sectt., Gurgaon",Haryana,IT Jobs,,full_time,,,2026-01-09 23:42:52+00:00,"NPS Prism Title: Data Engineer Hiring Location: Gurugram, India (Work From Home Role) Experience: 3–6 Years Employment Type: Full-time Company Profile: NPS Prism is a market-leading, cloud-based CX benchmarking and operational improvement platform owned by Bain & Company. NPS Prism provides its customers with actionable insights and analysis that guide the creation of game-changing customer experiences. Based on rock-solid sampling, research, and analytic methodology, it lets customers see how …",https://www.adzuna.in/details/5576136478?utm_medium=api&utm_source=4a2f7c39,False,
5775043371,Data Engineer,Trigent Software Private Limited,India,,IT Jobs,,,2000000.0,2500000.0,2026-06-24 23:19:31+00:00,"As a Data Engineer, a typical day involves designing, developing, and maintaining comprehensive data solutions that support the generation, collection, and processing of data. This role requires creating efficient data pipelines to facilitate smooth data flow and ensuring the integrity and quality of data throughout its lifecycle. The position also involves implementing extract, transform, and load processes to enable seamless migration and deployment of data across various systems, contributin…",https://www.adzuna.in/details/5775043371?utm_medium=api&utm_source=4a2f7c39,True,2250000.0
5775043617,Data Engineer,Arminus,"Chandni Chowk, North Delhi",Delhi,IT Jobs,,,,,2026-06-24 23:20:17+00:00,"Job Role: Data Engineer Role Overview and Expected Deliverables The engineer will design, build and operate scalable, secure and analytics ready data pipelines and models across GCP BigQuery and AWS, delivering: - Airflow orchestrated data workflows and automations. - DBT Cloud transformations, testing frameworks and environment governance. - Robust CI/CD and Infrastructure as Code (IaC) deployments (GitHub Actions, Bitbucket, Bamboo, Terraform or CloudFormation). - Performance optimisation acr…",https://www.adzuna.in/details/5775043617?utm_medium=api&utm_source=4a2f7c39,False,
5577277789,Data Engineer,Ikigai Labs,India,,IT Jobs,,,,,2026-01-10 08:42:53+00:00,"We are seeking a Data Engineer who excels in cleaning, transforming, and preparing complex data for integration into machine learning models. In this role, you will work closely with clients to understand their data and ensure it is properly formatted, validated, and optimized for use in our data pipelines. This position emphasizes data hygiene, reconciliation, and transformation—turning raw, messy data into structured, reliable datasets that flow seamlessly through our systems. The ideal candi…",https://www.adzuna.in/details/5577277789?utm_medium=api&utm_source=4a2f7c39,False,
5781267927,Data Engineer,Trigent Software Private Limited,India,,IT Jobs,,,2300000.0,2300000.0,2026-06-29 23:20:10+00:00,"Cloud-native Data Engineer specializing in AWS, Python, and Snowflake, delivering scalable, high-performance data platforms for enterprise analytics. proven capability in designing insightful dashboards and data visualization solutions. Good Hands-on experience in SQL scripting/ Snowflake Excellent problem-solving, triaging, and debugging skills in large-scale distributed systems Ability to work in Agile/Scrum environments and collaborate with cross-functional teams Can Build scalable Snowflake…",https://www.adzuna.in/details/5781267927?utm_medium=api&utm_source=4a2f7c39,True,2300000.0
